content,final_text,score
Seru amat,seru amat,5
"Game kocak, mau ganti akun aja segala ngestuck",game kocak mau ganti akun saja segala ngestuck,1
game bikin stres lost strek mulu bikin emosi udah mitick turun epic pasti ketemu player drak sistem terus,game bikin stres lost strek mulu bikin emosi sudah mitick turun peringkat rendah pasti ketemu player drak sistem terus,1
keren aa,keren aa,5
game nya seru,game nya seru,5
"apa apaan game ini?,sinyal saya bagus tetapi di in game saya mengalami lag parah,dan membuat saya harus kalah, tidak bisa di fix kah lag saat in game tersebut?!",apa apa game inisinyal saya bagus tetapi di in game saya alami lambat parahdan buat saya harus kalah tidak bisa di pasti kah lambat saat in game sebut,1
jangan di mainkan gem setres lostrek,jangan di main permata tres lostrek,1
"bagusss bngttt,, suka amaa apk nyaa",bagusss bngttt suka amaa apk nya,5
ya gitu,ya gitu,5
woy sinyal yang buruk Ampe 300ms masa nyalahin gw padahal sinyal gw penuh masa digame ping tinggi mana dicap afk lagi dev bagong,woy sinyal yang buruk ampe ms masa nyalahin saya padahal sinyal saya penuh masa digame ping tinggi mana cap keluar main lagi dev bagong,1
"moonton kejam banget co memberi gw lostrek 17 kali tanpa menang,geme ini telah merusak otak mental sama pikiran,jadi kalian jangan main geme kaya begini cok,bisa bisa kalian jadi stres",moonton kejam banget co beri saya lostrek kali tanpa menanggeme ini telah rusak otak mental sama pikiranjadi kalian jangan main geme kaya begini cokbisa bisa kalian jadi stres,1
MANTAPPPP SEMOGA DAPET LIGHT SISTEM STREAKKK,mantapppp moga dapet light sistem streakkk,5
maaf saya kasih 3 bintang sering lostreak lama pulihx,maaf saya beri bintang sering lostreak lama pulihx,3
Oi lah pke sinyal bagus kok lag ptek,oi pke sinyal bagus lambat ptek,1
Game yang bagus sekali. Saya bisa mengunakan hero Thamuz dengan legedary sebanyak 11 kali. Terimakasih. Mobile legends: Bang Bang!,game yang bagus sekali saya bisa mengunakan pahlawan thamuz dengan legedary banyak kali terimakasih mobile legends bang bang,5
cool,cool,5
gamenya sangat seru dan bisa untuk mabar,gamenya sangat seru dan bisa untuk mabar,5
"kalo milih tim yang bener lah moonton, gw kasih bintang 1",kalo milih tim yang bener moonton saya beri bintang,1
sangat cocok,sangat cocok,5
sangat baik,sangat baik,5
keren bnyk gratis ya sekarang mllb sekses selalu bg mun bisa bot y lebih jago juga bg seru main kostum but y jago²,keren bnyk gratis ya sekarang mllb sekses selalu bg mun bisa bot y lebih jago juga bg seru main kostum but y jago,5
SERU BANGET 👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻👍🏻,seru banget,5
pembagian tim nya gk adil baru sekali menang langsung di kasi dark sistem 10kali baru menang langusng kalah lagi dsr game gk adil dan kok afk turun nya 8 sedang kan maksimal menaikan cuma 3 jadi misal mau melakukan sesuatu jadi harus terpaksa afk,bagi tim nya tidak adil baru sekali menang langsung di kasi dark sistem kali baru menang langusng kalah lagi dsr game tidak adil dan keluar main turun nya sedang kan maksimal naik cuma jadi misal mau laku sesuatu jadi harus paksa keluar main,1
Mantap,mantap,4
banyak bikin stress waktu mau naik rank/push rank,banyak bikin stress waktu mau naik rankpush peringkat,1
"sistemnya min tolong dibenerin, dapet tim yang ga jelas terus",sistem admin tolong dibenerin dapet tim yang tidak jelas terus,5
"ML sekarang banyak player yg beg0""",mobile legends sekarang banyak player yg beg,2
gamenya bagus banget saya main ini hampir 24jam sumpah seru banget,gamenya bagus banget saya main ini hampir jam sumpah seru banget,5
jaringan suka tiba tiba lag/ilang padahal kalau buat apk lain normal jadi gold tertinggal jauh,jaring suka tiba tiba lagilang padahal kalau buat apk lain normal jadi gold tinggal jauh,2
game yang bagus,game yang bagus,5
saya dikasih tim dark sistem sama punya tim yang buta map gak mau phus dan saya gak pernah dikasih menang,saya kasih tim dark sistem sama punya tim yang buta map tidak mau phus dan saya tidak pernah kasih menang,1
bagus gak bikin gabut bikin dosah tamba banyak bikin kita toksik 😅,bagus tidak bikin tidak sibuk bikin dosah tamba banyak bikin kita toksik,5
siapa yang bilang gak bagus,siapa yang bilang tidak bagus,5
timnya kek monyet,tim kek monyet,2
"moonton yang terhormat kalau kasih tim itu yang seinbang dong, masa dapat tim tolol terus, kalau belum pantas nanik legend atau mitic jangan di naikin",moonton yang hormat kalau beri tim itu yang seinbang masa dapat tim bodoh terus kalau belum pantas nanik legenda atau mitic jangan di naikin,1
waw,waw,5
saya suka tapi saya susah naik renkk 😭😭,saya suka tapi saya susah naik renkk,5
game jelek untuk MONTOON tolong perbaiki gamenya karna saya selalu mendapat tim yang tidak jago main dan musuh terlalu susah,game jelek untuk montoon tolong baik gamenya karna saya selalu dapat tim yang tidak jago main dan lawan terlalu susah,1
apalah dapet tim nge troll,apa dapet tim nge troll,1
game rusak saya dikasih tim beban terus,game rusak saya kasih tim beban terus,1
rikues dong bahasanya tambahin bahasa sunda dong..... plis......,rikues bahasa tambahin bahasa sunda plis,5
"saya sangat kecewa karna sistem game ini tidak adil,karna saya sekalinya AfK kredit skornya mengurang 10, itu membuat saya tidak bisa memainkan rank,itu saja baru sekali Afk,penambahan kredit skor saja 3/3,dan saya itu aslinya tidak Afk kalau tau kouta habis jangan kehitung afk,MOHON SEGERA DIPERBAIKI!!",saya sangat kecewa karna sistem game ini tidak adilkarna saya sekali keluar main kredit skor kurang itu buat saya tidak bisa main rankitu saja baru sekali afkpenambahan kredit skor saja dan saya itu asli tidak keluar main kalau tau kouta habis jangan hitung afkmohon segera baik,4
mantap,mantap,5
gacor tapi bnyk yg ngetrol,gacor tapi bnyk yg ngetrol,5
gokil,gokil,5
semoga lebih dikembangkan lagi dan anti ngelag sukses 👍👍👍,moga lebih kembang lagi dan anti ngelag sukses,5
"yang bener lahhh gw udh main 12 jam rank malah turun gw terus yang gendong, tolong ya kondisiin tim kita biar adil",yang bener lahhh saya sudah main jam peringkat malah turun saya terus yang gendong tolong ya kondisiin tim kita biar adil,1
"Moonton aneh tumpul bgt buat device ke bwh, mau lanjut game aja karna relog lama bgt",moonton aneh tumpul banget buat device ke bwh mau lanjut game saja karna relog lama banget,1
game nya bagus dan grafiknya buat hp ram yg kecil,game nya bagus dan grafik buat hp ram yg kecil,5
skin gk gratis mls😭,tampil tidak gratis mls,1
mantap,mantap,5
"BAGUS BANGET, TAPIII BANYAK DARK SYSTEM, ANTARA TIM GA JAGO DAN MUSUH YANG TERLALU JAGO, KASIH KEADILAN LAH MOONTON, PADAHAL GAMENYA ASIK BANGET, MASA SUSAH NAIK RANK? KAN JADI GA ASIK IH",bagus banget tapiii banyak dark system antara tim tidak jago dan lawan yang terlalu jago beri adil moonton padahal gamenya asik banget masa susah naik peringkat kan jadi tidak asik ih,1
"masih banyak bug di gamenya, setiap maen selalu ketemu tim drak system😮‍💨 perbaiki lah monton KLO GK di perbaiki hapus aja game rusaknya ⭐1",masih banyak salah di gamenya tiap maen selalu ketemu tim drak system baik moonton klo tidak di baik hapus saja game rusak,1
montoon telaso,montoon telaso,1
gamenya seruuuuuuuuuuuuuu.......... banget,gamenya seruuuuuuuuuuuuuu banget,5
ok,ok,5
gilaaaaa .,gilaaaaa,5
game yang sangat buruk karena team selalu ga bisa main tolong di perbaiki gameplay-nya segera yaah,game yang sangat buruk karena team selalu tidak bisa main tolong di baik gameplaynya segera yaah,1
"game rusak karna di pertemukan tim dan lawan yang tidak seimbang tidak usah di download bagi kalian yang punya riwayat darah tinggi, game pembunuh ini karna developer cuman mentingin cuan dari pada keseimbangan battlefield sangat tidak seimbang di kasih tim noob musuh tier tinggi, sangat tidak recommended di download! developer pun tidak merespon keluh kesah player nya!!.",game rusak karna di temu tim dan lawan yang tidak imbang tidak usah di download bagi kalian yang punya riwayat darah tinggi game bunuh ini karna developer cuman mentingin cuan dari pada imbang battlefield sangat tidak imbang di beri tim mula lawan tier tinggi sangat tidak recommended di download developer pun tidak merespon keluh kesah player nya,1
ini game itu udah favorit saya dari kecil,ini game itu sudah favorit saya dari kecil,5
"game anjjj main solo ketemunya org Mabar ga adil tlol,game rusak game rusak lose 9 gperanh menang karna main solo ktemunya orang Mabar",game anjjj main solo ketemu org mabar tidak adil tlolgame rusak game rusak lose gperanh menang karna main solo ktemunya orang mabar,1
GG bg kata ilham,hebat bg kata ilham,5
timnya ngetrol,tim ngetrol,1
game seru,game seru,5
Game jelek,game jelek,1
game nya curang giliran masih belum di end itu cepet coba gilirand di end lambat kalo buat game yang bener dasar game rusak,game nya curang gilir masih belum di selesai itu cepet coba gilirand di selesai lambat kalo buat game yang bener dasar game rusak,1
kenapa saya kasih bintang satu karena saya kalah terus sudah kalah 5 kali tolong diperbaikin saya mau legend kalah mulu tolong dikasih perlindungan rank jadi saya kasih bintang 1 jadi kalo mau main ml main classic jangan main rang haram,kenapa saya beri bintang satu karena saya kalah terus sudah kalah kali tolong diperbaikin saya mau legenda kalah mulu tolong kasih lindung peringkat jadi saya beri bintang jadi kalo mau main mobile legends main classic jangan main rang haram,1
Gamenya sangat bagus.,gamenya sangat bagus,5
Bagus,bagus,5
sangat lah bagus game ini saya suka bangettt,sangat bagus game ini saya suka bangettt,5
"bagus dan Hero nya kalo udah level 15 sakit, tapi kadang ngeleg padahal jaringan nya bagus loo, tolong di perbaiki 🙏",bagus dan pahlawan nya kalo sudah level sakit tapi kadang ngeleg padahal jaring nya bagus loo tolong di baik,5
tidak bagus,tidak bagus,2
seru dari pada honor of kings,seru dari pada hormat of kings,5
apalah game aneh udh MH banyak draksystem udah gtu ketemu cheat apalah udh gtu bug aneh tolong lah di perbaiki hadeh,apa game aneh sudah mh banyak draksystem sudah gtu ketemu cheat apa sudah gtu salah aneh tolong di baik hadeh,3
colap sama tokyo,colap sama tokyo,5
seru gaes game nya,seru gaes game nya,5
"ml sekarang gak asik sumpah, bug nya banyak banget bjirr. keseringan lag nya yang minta ampun. masa paket data banyak jaringan kenceng pas masuk game play gak bisa! dengan alasan jaringan terputus. ndass mu..",mobile legends sekarang tidak asik sumpah salah nya banyak banget bjirr sering lambat nya yang minta ampun masa paket data banyak jaring kenceng pas masuk game play tidak bisa dengan alas jaring putus ndass mu,1
pas draft pick sering ngefreeze,pas draft pick sering ngefreeze,1
tolong lah player beban harus nya kalok di report setim ngurangin kredit skor 10 kek minimal yakali player beban ngurang cuma 3 itupun banyak player beban yang direport tidak ngurang sama sekali,tolong player beban harus nya kalok di report tim ngurangin kredit skor kek minimal yakali player beban ngurang cuma itu banyak player beban yang direport tidak ngurang sama sekali,1
"Game ny bagus..... Tp tolong pemain yg suka bacot egois dan lain lain 
tolong diberi hukuman yg agak berat soalny kasihan pemain yg asli ny bagus 
tp ketemu sm orang yg kyk gitu bakalan stres termasuk afk,feed tanpa 
alasan, egois tolong sebisany cepat dlm menghadapi masalah ini karena 
pemain yg serius akan berkurang dan tidak mau bermain game ini lagi plzzz:(",game ny bagus tapi tolong main yg suka bacot egois dan lain lain tolong beri hukum yg agak berat soalny kasihan main yg asli ny bagus tapi ketemu sama orang yg seperti gitu bakal stres masuk afkfeed tanpa alas egois tolong sebisany cepat dlm hadap masalah ini karena main yg serius akan kurang dan tidak mau main game ini lagi plzzz,5
enak dan seru game nya,enak dan seru game nya,5
tolong cepat naik reng,tolong cepat naik reng,5
kurangin dark sistem,rangin dark sistem,5
kenapa guaa kalo main ngelag pdahal jaringan baguss udh gua hidup speed lag nya tapi tetap aja ngelagg game macem apa ini,kenapa guaa kalo main ngelag pdahal jaring baguss sudah gua hidup speed lambat nya tapi tetap saja ngelagg game macem apa ini,1
gane gk jelas event doang banyak gamenya gk jelas moonton2,gane tidak jelas acara doang banyak gamenya tidak jelas moonton,1
game nya plis bagus banget moonton emg terbest,game nya plis bagus banget moonton emg terbest,5
"BAGUSSS,AKU SUKAAAA,TAPI COBA MLBB RANK EPIC NYA JANGAN DI KERASIN SOALNYA SUSAHH :(",bagusssaku sukaaaatapi coba mobile legends peringkat peringkat rendah nya jangan di kerasin soal susahh,4
"Game sudah bagus hanya saja permasalahan AFK, apabila AFK sengaja mending di ban tapi kalau ada AFK karena jaringan ya jangan di kurangi kredit skornya, kalau bisa nih saran di mainkan otomatis (jago) kalau di tinggal afk, ga usah ada yg namanya Kredit skor dan AFK karena saya kalau AFK itu karena dunia real, di suruh² akhirnya di tinggal terus game kalau ga di sita handphone jadi minimal pikir dulu lah afk karena alasan apa, alasan kek bantu ortu tuh ga ada kaya di suruh².",game sudah bagus hanya saja masalah keluar main apabila keluar main sengaja mending di ban tapi kalau ada keluar main karena jaring ya jangan di kurang kredit skor kalau bisa ini saran di main otomatis jago kalau di tinggal keluar main tidak usah ada yg nama kredit skor dan keluar main karena saya kalau keluar main itu karena dunia real di suruh akhir di tinggal terus game kalau tidak di sita handphone jadi minimal pikir dulu keluar main karena alas apa alas kek bantu ortu itu tidak ada kaya di suruh,5
"wahh gemnya seru,siklus main gua menang kalah menang kalah keren, si moonton gak mau gua legen mau nya nyetak di epic",wahh gemnya serusiklus main gua menang kalah menang kalah keren si moonton tidak mau gua legen mau nya nyetak di peringkat rendah,4
gem terkenal,permata kenal,5
moonton bgst harusnya Brody dinerf pasifnya sama basic attacknya,moonton bgst harus brody dinerf pasif sama basic attacknya,1
beri fitur maju mundur replayy,beri fitur maju mundur replayy,5
Ok... tp tim lawan selalu gak seimbang lebih tinggi,ok tapi tim lawan selalu tidak imbang lebih tinggi,3
Karena kalah terus gua malas bet,karena kalah terus gua malas bet,1
saya sangat senang memainkan nya tapi sayang sekali gak bisa dapet diamond aku lanjut main dah,saya sangat senang main nya tapi sayang sekali tidak bisa dapet diamond saya lanjut main sudah,5
gamenya bagus tapi biasanya lag 20 dan banyak drak sistem,gamenya bagus tapi biasa lambat dan banyak drak sistem,5
saya sangat menyukainya,saya sangat suka,5
hapus aja sistem report nya gk guna soalnya,hapus saja sistem report nya tidak guna soal,1
"skin udah lumayan bagus, dari segi efek, story, event dll udah mulai improve. untuk soal matchmaking, ini harus dibenerin algoritma matchmakingnya. penyesuaian antar tim tidak seimbang, player afk/troll/cheat tidak ada sanksi tegas, kurleb hanya itu. tapi paling sering dikeluhkan player ya dibagian match yang sering tidak seimbang antar tim, tolong benahi match kedepannya",tampil sudah lumayan bagus dari segi efek story acara dll sudah mulai improve untuk soal matchmaking ini harus dibenerin algoritma matchmakingnya sesuai antar tim tidak imbang player afktrollcheat tidak ada sanksi tegas kurleb hanya itu tapi paling sering keluh player ya bagi tanding yang sering tidak imbang antar tim tolong benah tanding depan,1
"Game nya seru banget saya udah lama main Game ini, ini adalah game favorit saya",game nya seru banget saya sudah lama main game ini ini adalah game favorit saya,5
gamenya jelek bikin gw tantrum cok,gamenya jelek bikin saya tantrum cok,1
GAME JELEK BANYAK DARK SISTEM PELIT NGASIH SKIN GAME PALING JELEK,game jelek banyak dark sistem pelit beri tampil game paling jelek,1
"Please fix the draft pick system now, use jockeys to log in at the same time in solo games, so solo players have difficulty dealing with it.so in our team there is one of their friends we are having trouble",please pasti the draft pick system now use jockeys to log in at the same time in solo games so solo players have difficulty dealing with itso in our team there is one of their friends we are having trouble,4
game nya bagus tapi setiap aku main rank mau sendiri berdua bertiga tetep di kasi kalah baru menang satu kalo pasti kalah nya 5 kalo GK 4 mohon di update dikit biar GK kaya gitu lagi,game nya bagus tapi tiap saya main peringkat mau sendiri dua tiga tetep di kasi kalah baru menang satu kalo pasti kalah nya kalo tidak mohon di baru dikit biar tidak kaya gitu lagi,4
qah game ini bagus aku dikatain dihujat di suruh uninstal pokony player ny bodoh ngatain orng pdhl kan aku main cuma buat seneng bukan stress untuk kalian lebih baik main block blast daripada ml semoga para player bodoh itu mendapatkan lose treak agar rasain terimakasih buat yg baca babay.sekian,qah game ini bagus saya dikatain hujat di suruh uninstal pokony player ny bodoh ngatain orng pdhl kan saya main cuma buat neng bukan stress untuk kalian lebih baik main block blast daripada mobile legends moga para player bodoh itu dapat lose treak agar rasain terimakasih buat yg baca babaysekian,1
game ini seru tapi sekali AFK kredit skor langsung mengurang banyak,game ini seru tapi sekali keluar main kredit skor langsung kurang banyak,4
kasih tim yg ngotak dikit lh bgst capek mvp kalah aja,beri tim yg ngotak dikit lh bgst capek mvp kalah saja,1
permainan nambah setres,main nambah tres,1
gamenya sangat seruu,gamenya sangat seruu,5
game ini tidak seru lebih seru ff😏😏😏😏😏,game ini tidak seru lebih seru ff,3
Bagus game nya seru,bagus game nya seru,5
gamenya menarik tapi developernya terlalu jahat,gamenya tarik tapi developer terlalu jahat,1
permainan cukup bagusss yang gak bagus nya lawan nya gak sesuai kassta jadi kalah teruss padahal barumain login di ml malah kayak gini baru naik epik malah gini. langsung di kasih musuh spek mythic imo tolong lah monton perbaiki,main cukup bagusss yang tidak bagus nya lawan nya tidak sesuai kassta jadi kalah teruss padahal barumain login di mobile legends malah kayak gin baru naik epik malah gin langsung di beri lawan spek peringkat tinggi imo tolong moonton baik,2
"BAGUS BANGET! POKOKNYA BAGUS BANGET DAN KALIAN YG LIAT INI WAJIB DOWNLOAD! GAME SERU, HERO BANYAK, DAN RANKNYA JUGA SERU! AWALNYA MUDAH TAPI MAKIN LAMA MAKIN SUSAH! SERU! KALIAN WAJIB MAIN DAN DOWNLOAD. WALAUPUN BUTUH BANYAK WIFI TAPI KLO KALIAN MAININ CLASSIC/RANK/BRAWL SERU BANGET! SKIN JUGA ADA DAN BANYAK SEKALI JUMLAHNYA. CEPAT DOWNLOAD DAN BELI HERO KALEA! BAGI YG PENGEN BELI DIAMOND, MURAH HARGANYA TAPI BAGI YG G BOLEH TOP UP AKU BERI TAHU BAHWA BANYAK HERO YG BISA DI BELI PAKE BATTLE POIN",bagus banget pokok bagus banget dan kalian yg liat ini wajib download game seru pahlawan banyak dan ranknya juga seru awal mudah tapi makin lama makin susah seru kalian wajib main dan download walaupun butuh banyak wifi tapi klo kalian mainin classicrankbrawl seru banget tampil juga ada dan banyak sekali jumlah cepat download dan beli pahlawan kalea bagi yg ken beli diamond murah harga tapi bagi yg g boleh top up saya beri tahu bahwa banyak pahlawan yg bisa di beli pake battle poin,5
"Game nya bagus, tapi bisa gak kalo kasi tim yang bermutu, cape tau gak dapet dark system mulu tolonglah ngestak situ2 mulu cape tau gak monton woyy, baca komen gua dong kasi lawan sama tim yang setimpal, ga jelas makin lama.",game nya bagus tapi bisa tidak kalo kasi tim yang mutu capek tau tidak dapet dark system mulu tolong ngestak situ mulu capek tau tidak moonton woyy baca komen gua kasi lawan sama tim yang timpal tidak jelas makin lama,3
seru game nya moonton,seru game nya moonton,5
tolong montoon masa mau naik rank musuh nya susah susah pas awal awal gak knp moonton capek gua main terus menurus gak ada bedanya 🥲,tolong montoon masa mau naik peringkat lawan nya susah susah pas awal awal tidak knp moonton capek gua main terus turus tidak ada beda,3
"monton tolong perbaiki lagi jaringan nya, masa maen game lain lancar, ml ping nya di atas 60ms, main di 40 ms aja udh ga enak, tolong lah perbaiki, dari dulu itu ga pernah ada perubahan, sama matchmaking nya di sesuaikan lah musuh, yakali musuh pada jago di tim saya pada BOT/keliatan kaya baru main, cape dong harus gendong² sendiri, percuma juga ini game MOBA 5vs5 ya kalo 1 vs 5 gaakan menang lah. RESPON.",moonton tolong baik lagi jaring nya masa maen game lain lancar mobile legends ping nya di atas ms main di ms saja sudah tidak enak tolong baik dari dulu itu tidak pernah ada ubah sama matchmaking nya di sesuai lawan yakali lawan pada jago di tim saya pada botkeliatan kaya baru main capek harus gendong sendiri percuma juga ini game moba vs ya kalo vs gaakan menang respon,1
game ini sangat bagus dan seru banget,game ini sangat bagus dan seru banget,5
main nya enak tapi tim kita selalu beban adohhhh.... mau naik rnk susah. skin bagus tapi mahal harga diamond nya,main nya enak tapi tim kita selalu beban adohhhh mau naik rnk susah tampil bagus tapi mahal harga diamond nya,5
monton monton memberi semua dark sistem dan musuh terlalu jago banyak lagi dan gw waktu ingin bye on teman gw me paus monton pls lah kasih kami sesuatu yang bagus untuk player Players ML emosi dah gw Ama moonton,moonton moonton beri semua dark sistem dan lawan terlalu jago banyak lagi dan saya waktu ingin bye on teman saya me paus moonton pls beri kami sesuatu yang bagus untuk player players mobile legends emosi sudah saya ama moonton,1
"kalau perlu kasi lawan yang jago dan kasi tim bot aja sekalian,sistem error. makin ke sini makin rusak saja sistem nyaa. di kasi tim bot kalau gak bot ya player baru match 20 .T41 lah",kalau perlu kasi lawan yang jago dan kasi tim bot saja sekaliansistem error makin ke sini makin rusak saja sistem nya di kasi tim bot kalau tidak bot ya player baru tanding t,1
seru dan sangat bagus dari segi model,seru dan sangat bagus dari segi model,5
aku udah naik rank master malah bot,saya sudah naik peringkat master malah bot,4
temen satu tim gk ada yang bener heran terus juga kebanyakan bug apa coba tim sendiri anomali tim musuh jago parah gk adil banget hukuman orang yang ngetrol kaga berat di kasih nya orang melanggar aturan juga pelanggaran nya cuma di kurangi skor nya kaga di ban apa gitu biar jera nyusahin orang main rank,temen satu tim tidak ada yang bener heran terus juga banyak salah apa coba tim sendiri anomali tim lawan jago buruk tidak adil banget hukum orang yang ngetrol kaga berat di beri nya orang langgar atur juga langgar nya cuma di kurang skor nya kaga di ban apa gitu biar jera nyusahin orang main peringkat,1
seru sih ini game tapi kadang ada dark system,seru sih ini game tapi kadang ada dark system,5
game nya udah bagus tapi bug nya tolong di perbaiki,game nya sudah bagus tapi salah nya tolong di baik,5
game anjay,game anjay,5
apalah ML nih sring lag klo maen game lain ga ngelag apalagi banyak citer lag poko nya gem nya buruk,apa mobile legends ini sring lambat klo maen game lain tidak ngelag apalagi banyak citer lambat poko nya permata nya buruk,1
gamenya bagus tapi tolong buff skill 1 Hero aldous biar makin besar areanya dan revamp grock sehingga grock lebih kuat,gamenya bagus tapi tolong tingkat skill pahlawan aldous biar makin besar area dan revamp grock sehingga grock lebih kuat,4
says sangat suka game ini karna disetiap main gk pernah leg,says sangat suka game ini karna tiap main tidak pernah lag,5
ko dapet tim nya ke gini ya montoon tapi musuh di kasih tim yang jago jago kenapa yah hadeh game rusak emng,ko dapet tim nya ke gin ya montoon tapi lawan di beri tim yang jago jago kenapa yah hadeh game rusak emng,1
mantap nih geme tapi tolong lah musuh nya gampangin dikit kalo udah grandmaster sama epic,mantap ini geme tapi tolong lawan nya gampangin dikit kalo sudah grandmaster sama peringkat rendah,5
seperti biasa keseimbangan matching nya gk pernah imbang,seperti biasa imbang matching nya tidak pernah imbang,2
Tolong ada sistem yang di bagusin lagih kaya yang jago jago yang bot bot gitu coba eh malah jago Ama bot tapi si botnyah itu banyak banget cape jadinyah gw ngegendong mulu,tolong ada sistem yang di bagusin lagih kaya yang jago jago yang bot bot gitu coba eh malah jago ama bot tapi si botnyah itu banyak banget capek jadinyah saya ngegendong mulu,1
"Udah di setting Moonton ,Match gak seimbang, menang 1 kali kalah 5 kali ,kapan bisa naik tier",sudah di setting moonton tanding tidak imbang menang kali kalah kali kapan bisa naik tier,1
kenapa si kalo tiba-tiba keluar game lagi rank pas masuk lagi harus butuh waktu lama.. kan jadi emosi,kenapa si kalo tibatiba keluar game lagi peringkat pas masuk lagi harus butuh waktu lama kan jadi emosi,2
"sorry ya moonton gw hapus aja ini game, soalnya jaringannya kurang stabil kalau pakai wifi sendiri",sorry ya moonton saya hapus saja ini game soal jaring kurang stabil kalau pakai wifi sendiri,1
gamenya bagus,gamenya bagus,5
bermain pengalaman yang sangat menyakitkan mata.sering patah patah saat bermain game,main alam yang sangat sakit matasering patah patah saat main game,1
banyakin karakter cowoknya lah min,banyakin karakter cowok admin,1
bagus bnagett,bagus bnagett,5
Beriratingaplikasin,beriratingaplikasin,5
game nya g bisa d buka,game nya g bisa d buka,1
ketika main di rank di kasih musuh yg udah mytic pas di clasic di kasih yang mudah,ketika main di peringkat di beri lawan yg sudah mytic pas di clasic di beri yang mudah,1
apa lah gak cukup sekali kalah kalah Mulu mau naik mythic aja susah minimal renk protection bagi bagi setiap hari lah😠😠,apa tidak cukup sekali kalah kalah mulu mau naik peringkat tinggi saja susah minimal renk protection bagi bagi tiap hari lah,2
mantap ini gamenya bagus tapi kalau dihapus graviknya nurun,mantap ini gamenya bagus tapi kalau hapus graviknya nurun,5
bagus tapi berikan aku diamond Ok,bagus tapi ikan saya diamond ok,5
menang kalah menang kalah sistem apaan dah GK jls hampir 20 kyk gitu gak solo gak Mabar sama aja .. buat temen ² yang mau ngilang in stres ni rekomendasi bat,menang kalah menang kalah sistem apa sudah tidak jls hampir seperti gitu tidak solo tidak mabar sama saja buat temen  yang mau ngilang in stres ni rekomendasi bat,1
kalo nain pasti ketenu orang yang cma bisa satu lane egois bot darksistem kalian gausah main game dajal ini cuma bikin emosi gem burik pantes sepi peminat tiap main rank pasti ada aja kendala dari jaringan ampe tim sendiri,kalo nain pasti ketenu orang yang cma bisa satu lane egois bot darksistem kalian gausah main game dajal ini cuma bikin emosi permata burik pantes sepi minat tiap main peringkat pasti ada saja kendala dari jaring ampe tim sendiri,1
bagusan HOK tolol lebih adil team nya,bagus hok bodoh lebih adil team nya,1
dikasih team bot mulu,kasih team bot mulu,1
permainan ini sangat bagus dan saya sangat menyukai game ini buruan kalian donwload juga,main ini sangat bagus dan saya sangat suka game ini buru kalian donwload juga,5
mobile Legends biasa mengunakan Hero yg di sukai pemain,mobile legends biasa mengunakan pahlawan yg di suka main,5
Seru walaupun ngak sama di iklanya,seru walaupun ngak sama di iklanya,5
❤♥️,,5
"gamenya bagus, mulai dari grafik, tampilan, desain, bagus,okey lah,mulai dari mendapatkan skin gratis lewat event, menyelesaikan eventnya cukup mudah, dll,tapi mines stu bintangnya adalah biasanya pas in game ngelag ngelag padahal jaringan bagus, ngebug jga biasanya, dan biasanya banyak sekali dark sistem padahal udh mau naik mytich? kaya player jadinya malas dan bosen gtu, tpi bagus sih selebihnya, skin dn heronya jg bagus bagus 👍👍",gamenya bagus mulai dari grafik tampil desain bagusokey lahmulai dari dapat tampil gratis lewat acara selesai eventnya cukup mudah dlltapi mes stu bintang adalah biasa pas in game ngelag ngelag padahal jaring bagus ngebug jga biasa dan biasa banyak sekali dark sistem padahal sudah mau naik mytich kaya player jadi malas dan bosen gtu tpi bagus sih lebih tampil dn hero juga bagus bagus,4
game nya tidak bagus jelek bagusan ff bisa pula fanny nya straight kabel nya gak cukup energi aelah hapus aja ni game,game nya tidak bagus jelek bagus ff bisa pula fanny nya straight kabel nya tidak cukup energi aelah hapus saja ni game,1
soka,soka,5
p bagus kali ini game,p bagus kali ini game,5
sesat cok kebangtan ini mah pas orang puasa batal atau makruh tetapi bagus juga banyak teman jago ada yang bot kenapa saya kasih bintang 4 karna sedikit kesalahan sedikit sus karna bulatan menonjol jadi puasa saya makruh deh pamit asalmualikum wabrokatu😍🙏🏻saya pamit dulu deh da da,sesat cok kebangtan ini mah pas orang puasa batal atau makruh tetapi bagus juga banyak teman jago ada yang bot kenapa saya beri bintang karna sedikit salah sedikit sus karna bulat tonjol jadi puasa saya makruh pamit asalmualikum wabrokatu saya pamit dulu da da,5
game yaa legg padahal sinyal bagus????,game yaa legg padahal sinyal bagus,2
intine kenek gae pelampiasan!,intine kenek gae lampias,5
"Gamenya bagus Banyak orang tolol, tidak bisa bermain, saya kalah Mulu, dapat tim jelek dan musuh yang jago,dark sistem banyak beroperasi",gamenya bagus banyak orang bodoh tidak bisa main saya kalah mulu dapat tim jelek dan lawan yang jagodark sistem banyak operasi,5
buruk,buruk,1
Monton banyak dari system...,moonton banyak dari system,1
moonton sangat pintar membuat game sampai ff bisa kalah wkwkwk,moonton sangat pintar buat game sampai ff bisa kalah wkwkwk,5
jaringan lancar di buat ping tinggi gak enak.di awal ping standar mau masuk mid game ping tinggi langsung..coba perbaiki kendala di ping,jaring lancar di buat ping tinggi tidak enakdi awal ping standar mau masuk mid game ping tinggi langsungcoba baik kendala di ping,2
Woei musuh gua susah bat,woei lawan gua susah bat,3
