Tanggal,Jam,Kategori,Jumlah,Keterangan
2022-10-13,13:48:00,rumah,88000,"Pembelian alat keamanan rumah (CCTV, alarm)"
2022-10-13,17:42:00,asuransi,94000,Bayar premi asuransi pendidikan anak
2022-10-13,15:38:00,pulsa,19000,Isi ulang pulsa telepon
2022-10-14,21:11:00,kesehatan,92000,Pembelian alat kesehatan seperti tensimeter
2022-10-14,07:48:00,tagihan,43000,Bayar langganan majalah/koran
2022-10-14,20:27:00,tagihan,66000,Bayar tagihan telepon rumah
2022-10-15,07:21:00,kesehatan,38000,Pembelian masker dan hand sanitizer
2022-10-15,07:09:00,pajak,78000,Bayar pajak kendaraan bermotor
2022-10-15,17:45:00,lain-lain,19000,Biaya penitipan anak
2022-10-15,12:51:00,loundry,25000,Bersihkan karpet rumah
2022-10-15,16:49:00,hiburan,40000,Beli tiket konser musik
2022-10-16,20:00:00,rumah,69000,Service dan perawatan AC
2022-10-16,08:18:00,kesehatan,43000,Pembelian masker dan hand sanitizer
2022-10-16,07:41:00,rumah,60000,Beli alat pel dan alat kebersihan rumah
2022-10-17,21:28:00,kesehatan,45000,Pembelian obat resep dokter
2022-10-17,20:11:00,pulsa,7000,Beli voucher game online
2022-10-17,21:38:00,kesehatan,71000,Konsultasi dokter umum
2022-10-18,08:53:00,tagihan,47000,Bayar tagihan gas elpiji
2022-10-18,17:54:00,asuransi,75000,Bayar premi asuransi jiwa
2022-10-18,21:40:00,pajak,51000,Bayar pajak bumi dan bangunan (PBB)
2022-10-18,13:44:00,kesehatan,55000,Terapi pijat dan refleksi
2022-10-19,18:47:00,asuransi,54000,Pembayaran klaim asuransi
2022-10-19,07:29:00,hiburan,27000,Langganan majalah hiburan
2022-10-19,20:40:00,belanja,49000,Beli alat tulis dan kantor
2022-10-20,11:25:00,pakaian,47000,Beli jaket dan sweater
2022-10-20,20:33:00,makan,27000,Jajan cemilan pasar
2022-10-20,14:39:00,hiburan,38000,Langganan majalah hiburan
2022-10-20,21:57:00,pajak,66000,Bayar pajak listrik usaha
2022-10-20,17:03:00,pakaian,35000,Beli pakaian tradisional
2022-10-21,12:48:00,hiburan,29000,Langganan majalah hiburan
2022-10-21,16:22:00,asuransi,88000,Bayar premi asuransi usaha
2022-10-21,16:48:00,lain-lain,44000,Bayar denda tilang
2022-10-21,15:36:00,asuransi,95000,Biaya administrasi asuransi
2022-10-21,19:56:00,pakaian,71000,Beli pakaian tradisional
2022-10-22,09:38:00,kesehatan,33000,Pembelian obat resep dokter
2022-10-22,18:45:00,asuransi,87000,Bayar premi asuransi kesehatan
2022-10-22,12:32:00,asuransi,81000,Perpanjangan asuransi rumah
2022-10-22,21:11:00,pakaian,38000,Beli pakaian tradisional
2022-10-22,16:16:00,loundry,14000,Loundry pakaian berbahan khusus
2022-10-23,07:39:00,makan,17000,Jajan cemilan pasar
2022-10-23,13:28:00,pulsa,7000,Pembayaran layanan telekomunikasi lainnya
2022-10-23,17:25:00,loundry,10000,Setrika pakaian batik
2022-10-23,07:50:00,kesehatan,84000,Konsultasi dokter umum
2022-10-24,21:42:00,lain-lain,24000,Donasi bencana alam
2022-10-24,08:58:00,pulsa,5000,Beli voucher game online
2022-10-24,15:11:00,makan,43000,Beli gorengan di sekolah
2022-10-25,17:40:00,pajak,57000,Bayar pajak kendaraan bermotor
2022-10-25,07:55:00,belanja,29000,Beli pakaian baru
2022-10-25,19:31:00,pakaian,61000,Beli pakaian tradisional
2022-10-26,09:27:00,pulsa,15000,Beli pulsa untuk perangkat IoT
2022-10-26,19:21:00,pulsa,12000,Beli paket data internet
2022-10-26,12:48:00,lain-lain,31000,Biaya perizinan dan administrasi
2022-10-26,09:37:00,hiburan,18000,Bermain di taman rekreasi
2022-10-27,10:38:00,pajak,97000,Bayar pajak kendaraan pribadi
2022-10-27,06:21:00,loundry,22000,Setrika pakaian batik
2022-10-27,16:35:00,hiburan,48000,Nonton bioskop
2022-10-27,11:41:00,pajak,85000,Pelaporan pajak tahunan
2022-10-28,08:15:00,makan,31000,Beli lauk pauk untuk keluarga
2022-10-28,11:36:00,asuransi,79000,Bayar premi asuransi jiwa
2022-10-28,16:26:00,tagihan,58000,Bayar layanan kebersihan lingkungan
2022-10-29,08:34:00,loundry,22000,Loundry pakaian anak
2022-10-29,09:42:00,rumah,97000,"Pembelian alat keamanan rumah (CCTV, alarm)"
2022-10-29,16:08:00,loundry,11000,Loundry seragam sekolah
2022-10-29,08:40:00,pajak,71000,Pelaporan pajak tahunan
2022-10-29,08:12:00,pajak,50000,Bayar pajak usaha
2022-10-30,19:57:00,loundry,14000,Setrika pakaian kerja
2022-10-30,13:37:00,pakaian,70000,Beli baju anak-anak
2022-10-30,20:29:00,kesehatan,76000,Cek kesehatan di klinik
2022-10-30,11:19:00,belanja,47000,Beli alat elektronik kecil
2022-10-30,09:25:00,hiburan,29000,Mengikuti kelas musik atau tari
2022-10-31,11:21:00,lain-lain,11000,Pembelian alat tulis kantor
2022-10-31,14:36:00,tagihan,51000,Bayar tagihan internet dan WiFi
2022-10-31,16:24:00,pajak,63000,Pelunasan denda pajak
2022-11-01,14:41:00,asuransi,73000,Bayar premi asuransi perjalanan
2022-11-01,15:52:00,makan,45000,Beli minuman es teh
2022-11-01,16:48:00,pakaian,43000,Beli pakaian dalam
2022-11-01,16:01:00,tagihan,94000,Bayar layanan kebersihan lingkungan
2022-11-02,06:45:00,pulsa,15000,Pembayaran layanan telekomunikasi lainnya
2022-11-02,20:07:00,pakaian,68000,Beli jaket dan sweater
2022-11-02,21:25:00,kesehatan,58000,Pembelian alat kesehatan seperti tensimeter
2022-11-02,16:28:00,loundry,10000,Cuci pakaian harian
2022-11-03,15:35:00,rumah,88000,Service dan perawatan AC
2022-11-03,09:44:00,asuransi,85000,Biaya administrasi asuransi
2022-11-03,08:38:00,pakaian,46000,Beli jaket dan sweater
2022-11-03,19:41:00,pakaian,35000,Beli aksesoris pakaian
2022-11-04,08:29:00,kesehatan,48000,Pembelian alat kesehatan seperti tensimeter
2022-11-04,07:53:00,pajak,65000,Bayar pajak penghasilan
2022-11-04,08:25:00,kesehatan,65000,Pembelian obat resep dokter
2022-11-05,11:52:00,tagihan,98000,Bayar tagihan TV kabel dan streaming
2022-11-05,18:36:00,pajak,95000,Bayar pajak usaha
2022-11-05,16:32:00,belanja,32000,Belanja bumbu masak
2022-11-05,18:02:00,loundry,15000,Cuci tas dan sepatu
2022-11-06,12:06:00,lain-lain,40000,Transportasi darurat
2022-11-06,15:21:00,pulsa,13000,Beli paket data internet
2022-11-06,14:28:00,pajak,58000,Bayar pajak usaha
2022-11-07,19:23:00,belanja,49000,Belanja perlengkapan mandi
2022-11-07,13:51:00,tagihan,92000,Bayar tagihan air PDAM
2022-11-07,14:39:00,pajak,53000,Bayar pajak listrik usaha
2022-11-07,09:12:00,lain-lain,19000,Hadiah ulang tahun keluarga
2022-11-07,13:15:00,asuransi,50000,Bayar premi asuransi kendaraan
2022-11-08,11:33:00,pakaian,39000,Beli topi dan sabuk
2022-11-08,11:55:00,belanja,40000,Belanja perlengkapan sekolah anak
2022-11-08,13:26:00,kesehatan,99000,Pembelian obat resep dokter
2022-11-09,21:43:00,belanja,31000,Beli pakaian baru
2022-11-09,09:42:00,belanja,74000,Beli alat tulis dan kantor
2022-11-09,10:51:00,belanja,29000,Belanja kebutuhan rumah tangga
2022-11-09,14:21:00,pakaian,57000,Beli kaos dan celana casual
2022-11-09,16:43:00,rumah,71000,Perbaikan instalasi listrik rumah
2022-11-10,18:53:00,lain-lain,39000,Biaya perizinan dan administrasi
2022-11-10,20:33:00,kesehatan,33000,Pembelian obat flu dan batuk
2022-11-10,21:57:00,makan,27000,Beli makanan online lewat aplikasi
2022-11-10,20:04:00,tagihan,87000,Bayar biaya parkir dan sampah
2022-11-10,21:16:00,pajak,60000,Bayar pajak hotel dan restoran
2022-11-11,08:21:00,loundry,17000,Loundry pakaian berbahan khusus
2022-11-11,10:15:00,pajak,57000,Pelunasan denda pajak
2022-11-11,15:37:00,loundry,25000,Loundry seprai dan selimut
2022-11-11,12:41:00,pajak,60000,Pelunasan denda pajak
2022-11-12,20:07:00,asuransi,85000,Bayar premi asuransi kendaraan
2022-11-12,20:21:00,loundry,27000,Loundry seprai dan selimut
2022-11-12,18:07:00,hiburan,16000,Nonton pertunjukan teater atau seni tradisional
2022-11-12,16:28:00,rumah,93000,Beli tirai dan gorden
2022-11-13,12:21:00,belanja,36000,Belanja bumbu masak
2022-11-13,17:00:00,loundry,10000,Cuci pakaian harian
2022-11-13,06:49:00,lain-lain,28000,Biaya penitipan anak
2022-11-13,10:57:00,asuransi,55000,Biaya administrasi asuransi
2022-11-13,09:29:00,kesehatan,73000,Cek kesehatan di klinik
2022-11-14,07:03:00,makan,44000,Beli gorengan di sekolah
2022-11-14,08:15:00,pulsa,14000,Top up e-wallet GoPay/Ovo/Dana
2022-11-14,11:54:00,makan,15000,Beli makanan online lewat aplikasi
2022-11-14,06:07:00,lain-lain,39000,Pembelian alat tulis kantor
2022-11-14,08:36:00,loundry,15000,Loundry seragam sekolah
2022-11-15,19:10:00,loundry,28000,Loundry seragam sekolah
2022-11-15,20:22:00,kesehatan,52000,Konsultasi dokter umum
2022-11-15,15:32:00,tagihan,85000,Bayar layanan kebersihan lingkungan
2022-11-16,18:33:00,pakaian,71000,Beli baju kerja dan seragam
2022-11-16,07:21:00,makan,41000,Beli nasi bungkus
2022-11-16,10:06:00,tagihan,53000,Bayar tagihan listrik bulanan
2022-11-16,18:12:00,pakaian,73000,Beli sepatu formal
2022-11-17,20:54:00,tagihan,81000,Bayar tagihan air PDAM
2022-11-17,10:47:00,kesehatan,81000,Pembelian obat flu dan batuk
2022-11-17,15:02:00,makan,21000,Beli nasi bungkus
2022-11-17,20:40:00,tagihan,31000,Bayar tagihan listrik bulanan
2022-11-17,07:19:00,hiburan,33000,Nonton bioskop
2022-11-18,06:24:00,loundry,11000,Cuci tas dan sepatu
2022-11-18,13:26:00,lain-lain,40000,Pembelian souvenir acara keluarga
2022-11-18,07:09:00,loundry,23000,Loundry pakaian anak
2022-11-18,08:35:00,pakaian,49000,Beli aksesoris pakaian
2022-11-19,13:20:00,pulsa,15000,Pembayaran layanan telekomunikasi lainnya
2022-11-19,21:12:00,asuransi,93000,Bayar premi asuransi usaha
2022-11-19,21:38:00,tagihan,77000,Bayar tagihan air PDAM
2022-11-19,07:14:00,pakaian,64000,Beli topi dan sabuk
2022-11-20,08:34:00,pakaian,79000,Beli pakaian dalam
2022-11-20,20:31:00,rumah,63000,Beli tirai dan gorden
2022-11-20,15:18:00,asuransi,71000,Bayar premi asuransi kesehatan
2022-11-20,13:41:00,tagihan,51000,Bayar biaya parkir dan sampah
2022-11-20,11:47:00,belanja,38000,Beli souvenir dan hadiah
2022-11-21,20:58:00,pakaian,45000,Beli jaket dan sweater
2022-11-21,13:20:00,belanja,37000,Beli pakaian baru
2022-11-21,21:14:00,lain-lain,10000,Transportasi darurat
2022-11-22,19:02:00,hiburan,31000,Bermain di taman rekreasi
2022-11-22,21:54:00,makan,29000,Beli sarapan di warung
2022-11-22,12:36:00,pakaian,69000,Beli jaket dan sweater
2022-11-22,08:23:00,pakaian,51000,Beli baju anak-anak
2022-11-22,06:26:00,tagihan,46000,Bayar tagihan TV kabel dan streaming
2022-11-23,10:42:00,pakaian,53000,Beli kaos dan celana casual
2022-11-23,06:41:00,pulsa,8000,Beli pulsa untuk perangkat IoT
2022-11-23,11:56:00,lain-lain,41000,Hadiah ulang tahun keluarga
2022-11-24,18:50:00,lain-lain,20000,Pembelian souvenir acara keluarga
2022-11-24,08:05:00,loundry,26000,Loundry pakaian berbahan khusus
2022-11-24,11:59:00,pakaian,33000,Beli kaos dan celana casual
2022-11-24,15:36:00,pulsa,19000,Pembayaran layanan telekomunikasi lainnya
2022-11-25,17:45:00,lain-lain,38000,Transportasi darurat
2022-11-25,13:00:00,makan,42000,Jajan cemilan pasar
2022-11-25,19:35:00,rumah,72000,"Pembelian alat keamanan rumah (CCTV, alarm)"
2022-11-26,18:01:00,hiburan,11000,Nonton pertunjukan teater atau seni tradisional
2022-11-26,20:09:00,pajak,62000,Bayar pajak usaha
2022-11-26,09:01:00,tagihan,97000,Bayar iuran keamanan lingkungan
2022-11-26,20:35:00,tagihan,75000,Bayar iuran keamanan lingkungan
2022-11-27,12:31:00,kesehatan,49000,Konsultasi dokter umum
2022-11-27,13:23:00,tagihan,67000,Bayar tagihan listrik bulanan
2022-11-27,20:56:00,pajak,68000,Pelaporan pajak tahunan
2022-11-28,20:35:00,belanja,37000,Belanja perlengkapan sekolah anak
2022-11-28,14:59:00,pulsa,8000,Top up e-wallet GoPay/Ovo/Dana
2022-11-28,18:10:00,loundry,28000,Setrika pakaian kerja
2022-11-28,12:24:00,makan,41000,Beli gorengan di sekolah
2022-11-28,20:31:00,tagihan,44000,Bayar tagihan air PDAM
2022-11-29,20:17:00,kesehatan,47000,Pemeriksaan laboratorium
2022-11-29,08:31:00,pakaian,39000,Beli baju kerja dan seragam
2022-11-29,17:20:00,rumah,77000,Beli kursi dan meja baru
2022-11-29,18:36:00,rumah,70000,Ganti lampu rumah
2022-11-29,18:55:00,pajak,68000,Pelunasan denda pajak
2022-11-30,14:54:00,loundry,13000,Setrika pakaian batik
2022-11-30,14:40:00,pakaian,72000,Beli pakaian olahraga
2022-11-30,11:57:00,kesehatan,94000,Terapi pijat dan refleksi
2022-11-30,10:13:00,asuransi,50000,Bayar premi asuransi usaha
2022-11-30,19:44:00,pakaian,67000,Beli kaos dan celana casual
2022-12-01,13:07:00,pulsa,7000,Bayar tagihan telepon prabayar
2022-12-01,07:40:00,hiburan,31000,Beli buku novel dan komik
2022-12-01,16:33:00,belanja,64000,Beli peralatan kebersihan rumah
2022-12-01,20:25:00,rumah,86000,Beli kursi dan meja baru
2022-12-02,11:55:00,makan,45000,Makan malam di restoran
2022-12-02,21:32:00,rumah,79000,Ganti lampu rumah
2022-12-02,10:50:00,pakaian,56000,Beli aksesoris pakaian
2022-12-02,17:22:00,lain-lain,16000,Sedekah ke masjid atau panti asuhan
2022-12-03,10:19:00,lain-lain,19000,Biaya perizinan dan administrasi
2022-12-03,09:08:00,pakaian,79000,Beli kaos dan celana casual
2022-12-03,07:45:00,rumah,74000,Beli tirai dan gorden
2022-12-03,09:40:00,loundry,13000,Loundry pakaian olahraga
2022-12-04,15:13:00,asuransi,84000,Bayar premi asuransi jiwa
2022-12-04,21:31:00,belanja,60000,Belanja bumbu masak
2022-12-04,19:57:00,pakaian,65000,Beli pakaian tradisional
2022-12-04,17:13:00,asuransi,69000,Bayar premi asuransi usaha
2022-12-04,13:48:00,pulsa,12000,Isi ulang pulsa telepon
2022-12-05,08:31:00,pakaian,49000,Beli kaos dan celana casual
2022-12-05,11:17:00,pajak,59000,Bayar pajak reklame
2022-12-05,06:47:00,pajak,70000,Bayar pajak penghasilan
2022-12-06,21:38:00,hiburan,18000,Bermain di taman rekreasi
2022-12-06,07:20:00,tagihan,96000,Bayar biaya parkir dan sampah
2022-12-06,13:52:00,belanja,27000,Belanja bumbu masak
2022-12-07,06:20:00,belanja,22000,Belanja perlengkapan mandi
2022-12-07,09:53:00,pajak,87000,Bayar pajak reklame
2022-12-07,09:24:00,makan,26000,Beli lauk pauk untuk keluarga
2022-12-08,06:58:00,tagihan,94000,Bayar tagihan listrik bulanan
2022-12-08,18:46:00,lain-lain,41000,Biaya tak terduga
2022-12-08,16:04:00,asuransi,60000,Bayar premi asuransi kesehatan
2022-12-08,06:27:00,makan,28000,Makan siang di kantin
2022-12-08,09:52:00,lain-lain,15000,Sedekah ke masjid atau panti asuhan
2022-12-09,14:31:00,hiburan,10000,Bermain di taman rekreasi
2022-12-09,06:29:00,makan,13000,Makan di warteg
2022-12-09,07:16:00,pajak,54000,Bayar pajak listrik usaha
2022-12-09,18:53:00,pulsa,14000,Beli voucher game online
2022-12-10,06:21:00,tagihan,77000,Bayar layanan kebersihan lingkungan
2022-12-10,18:21:00,rumah,83000,Beli alat pel dan alat kebersihan rumah
2022-12-10,14:22:00,pakaian,44000,Beli kaos dan celana casual
2022-12-11,09:24:00,pakaian,63000,Beli sepatu formal
2022-12-11,16:44:00,pakaian,76000,Beli topi dan sabuk
2022-12-11,19:55:00,kesehatan,71000,Pembelian masker dan hand sanitizer
2022-12-11,17:19:00,rumah,74000,Pengecatan rumah dan dinding
2022-12-11,12:06:00,makan,19000,Beli makanan online lewat aplikasi
2022-12-12,20:49:00,tagihan,67000,Bayar tagihan TV kabel dan streaming
2022-12-12,16:29:00,asuransi,66000,Bayar premi asuransi kendaraan
2022-12-12,19:48:00,hiburan,36000,Langganan majalah hiburan
2022-12-12,08:01:00,pulsa,9000,Top up e-wallet GoPay/Ovo/Dana
2022-12-12,07:59:00,loundry,14000,Bersihkan karpet rumah
2022-12-13,16:29:00,pakaian,30000,Beli sepatu formal
2022-12-13,19:32:00,rumah,60000,Beli tirai dan gorden
2022-12-13,07:09:00,tagihan,82000,Bayar iuran keamanan lingkungan
2022-12-13,06:23:00,lain-lain,12000,Biaya penitipan anak
2022-12-13,13:18:00,pajak,59000,Bayar pajak listrik usaha
2022-12-14,21:20:00,asuransi,54000,Perpanjangan asuransi rumah
2022-12-14,11:02:00,lain-lain,18000,Biaya penitipan anak
2022-12-14,13:23:00,loundry,16000,Setrika pakaian kerja
2022-12-15,18:42:00,rumah,67000,Beli kursi dan meja baru
2022-12-15,10:29:00,kesehatan,41000,Pembelian masker dan hand sanitizer
2022-12-15,17:51:00,pajak,63000,Pelaporan pajak tahunan
2022-12-15,07:56:00,lain-lain,12000,Pembelian alat tulis kantor
2022-12-15,20:42:00,pulsa,14000,Beli paket data internet
2022-12-16,08:54:00,belanja,73000,Beli pakaian baru
2022-12-16,21:40:00,hiburan,42000,Beli cemilan saat nonton TV
2022-12-16,18:17:00,rumah,59000,Beli kursi dan meja baru
2022-12-16,14:19:00,kesehatan,53000,Pembelian obat resep dokter
2022-12-17,19:00:00,tagihan,54000,Bayar tagihan listrik bulanan
2022-12-17,19:49:00,lain-lain,38000,Sedekah ke masjid atau panti asuhan
2022-12-17,13:26:00,kesehatan,66000,Konsultasi dokter umum
2022-12-17,18:31:00,makan,21000,Makan di warteg
2022-12-17,20:18:00,tagihan,59000,Bayar tagihan gas elpiji
2022-12-18,17:40:00,pajak,67000,Pelaporan pajak tahunan
2022-12-18,08:48:00,tagihan,35000,Bayar iuran keamanan lingkungan
2022-12-18,08:35:00,hiburan,35000,Beli buku novel dan komik
2022-12-19,07:28:00,kesehatan,97000,Pembelian masker dan hand sanitizer
2022-12-19,10:35:00,hiburan,45000,Langganan majalah hiburan
2022-12-19,17:25:00,rumah,55000,Perbaikan pipa dan keran air
2022-12-19,16:42:00,asuransi,58000,Bayar premi asuransi jiwa
2022-12-19,18:00:00,loundry,12000,Loundry seprai dan selimut
2022-12-20,21:57:00,asuransi,96000,Perpanjangan asuransi rumah
2022-12-20,06:55:00,lain-lain,13000,Pembelian alat tulis kantor
2022-12-20,07:31:00,lain-lain,18000,Biaya perizinan dan administrasi
2022-12-20,21:47:00,tagihan,72000,Bayar layanan kebersihan lingkungan
2022-12-21,20:08:00,kesehatan,85000,Pembelian alat kesehatan seperti tensimeter
2022-12-21,08:26:00,hiburan,31000,Bermain di taman rekreasi
2022-12-21,11:10:00,rumah,57000,Perbaikan instalasi listrik rumah
2022-12-21,06:25:00,kesehatan,87000,Pembelian obat resep dokter
2022-12-22,14:23:00,tagihan,44000,Bayar biaya parkir dan sampah
2022-12-22,15:03:00,kesehatan,66000,Konsultasi dokter umum
2022-12-22,19:42:00,asuransi,50000,Biaya administrasi asuransi
2022-12-23,15:20:00,asuransi,60000,Bayar premi asuransi jiwa
2022-12-23,11:38:00,makan,21000,Beli minuman es teh
2022-12-23,13:03:00,pajak,74000,Bayar pajak listrik usaha
2022-12-23,18:55:00,pakaian,49000,Beli pakaian olahraga
2022-12-23,13:14:00,belanja,22000,Belanja kebutuhan rumah tangga
2022-12-24,10:41:00,tagihan,79000,Bayar tagihan TV kabel dan streaming
2022-12-24,11:23:00,belanja,30000,Beli alat elektronik kecil
2022-12-24,10:33:00,makan,17000,Beli nasi bungkus
2022-12-24,11:15:00,pakaian,69000,Beli aksesoris pakaian
2022-12-25,21:24:00,loundry,20000,Cuci pakaian harian
2022-12-25,19:32:00,lain-lain,32000,Biaya tak terduga
2022-12-25,08:18:00,hiburan,41000,Beli cemilan saat nonton TV
2022-12-26,18:51:00,lain-lain,22000,Hadiah ulang tahun keluarga
2022-12-26,13:29:00,tagihan,78000,Bayar layanan kebersihan lingkungan
2022-12-26,13:32:00,pakaian,39000,Beli pakaian tradisional
2022-12-26,07:53:00,lain-lain,43000,Biaya penitipan anak
2022-12-27,17:50:00,makan,42000,Beli sarapan di warung
2022-12-27,09:34:00,pakaian,34000,Beli pakaian olahraga
2022-12-27,16:06:00,kesehatan,74000,Pembelian masker dan hand sanitizer
2022-12-28,21:53:00,asuransi,95000,Bayar premi asuransi kendaraan
2022-12-28,09:16:00,makan,22000,Beli jajanan pasar tradisional
2022-12-28,06:08:00,makan,27000,Beli lauk pauk untuk keluarga
2022-12-28,18:44:00,loundry,26000,Cuci pakaian harian
2022-12-28,21:28:00,pakaian,63000,Beli pakaian olahraga
2022-12-29,06:24:00,loundry,10000,Cuci tas dan sepatu
2022-12-29,20:25:00,belanja,79000,Belanja kebutuhan dapur
2022-12-29,21:01:00,pakaian,75000,Beli pakaian dalam
2022-12-29,17:49:00,asuransi,67000,Bayar premi asuransi usaha
2022-12-29,06:12:00,pajak,61000,Bayar pajak bumi dan bangunan (PBB)
2022-12-30,21:23:00,kesehatan,45000,Pemeriksaan laboratorium
2022-12-30,21:42:00,pakaian,78000,Beli pakaian tradisional
2022-12-30,09:37:00,makan,26000,Beli nasi bungkus
2022-12-30,17:47:00,pajak,75000,Bayar pajak kendaraan bermotor
2022-12-30,06:37:00,hiburan,14000,Main game online berbayar
2022-12-31,15:56:00,lain-lain,37000,Donasi bencana alam
2022-12-31,19:51:00,makan,41000,Beli sarapan di warung
2022-12-31,21:21:00,loundry,26000,Loundry seprai dan selimut
2022-12-31,09:01:00,tagihan,78000,Bayar tagihan gas elpiji
2023-01-01,06:50:00,lain-lain,16000,Biaya penitipan anak
2023-01-01,12:05:00,pajak,50000,Bayar pajak penghasilan
2023-01-01,09:13:00,kesehatan,57000,Beli vitamin dan suplemen
2023-01-01,13:30:00,pakaian,43000,Beli aksesoris pakaian
2023-01-01,21:18:00,pulsa,10000,Pembayaran layanan telekomunikasi lainnya
2023-01-02,06:03:00,pakaian,57000,Beli aksesoris pakaian
2023-01-02,13:57:00,asuransi,75000,Bayar premi asuransi pendidikan anak
2023-01-02,11:47:00,belanja,50000,Belanja perlengkapan sekolah anak
2023-01-03,14:38:00,tagihan,77000,Bayar tagihan telepon rumah
2023-01-03,11:25:00,hiburan,30000,Beli buku novel dan komik
2023-01-03,19:34:00,lain-lain,15000,Biaya perizinan dan administrasi
2023-01-03,10:03:00,pulsa,8000,Isi ulang pulsa telepon
2023-01-04,15:37:00,pajak,81000,Pelunasan denda pajak
2023-01-04,10:58:00,pulsa,16000,Pembayaran layanan telekomunikasi lainnya
2023-01-04,20:38:00,tagihan,59000,Bayar tagihan telepon rumah
2023-01-05,09:58:00,loundry,14000,Loundry pakaian olahraga
2023-01-05,21:52:00,pulsa,12000,Beli paket data internet
2023-01-05,08:33:00,kesehatan,77000,Pembelian obat resep dokter
2023-01-06,06:58:00,makan,19000,Beli makanan online lewat aplikasi
2023-01-06,15:11:00,loundry,12000,Loundry pakaian berbahan khusus
2023-01-06,15:41:00,belanja,30000,Beli pakaian baru
2023-01-06,17:11:00,asuransi,65000,Bayar premi asuransi pendidikan anak
2023-01-06,13:50:00,lain-lain,40000,Biaya tak terduga
2023-01-07,19:28:00,makan,25000,Beli gorengan di sekolah
2023-01-07,12:20:00,lain-lain,19000,Hadiah ulang tahun keluarga
2023-01-07,16:38:00,belanja,54000,Belanja kebutuhan dapur
2023-01-07,13:05:00,belanja,46000,Beli peralatan kebersihan rumah
2023-01-07,14:54:00,pajak,87000,Bayar pajak hotel dan restoran
2023-01-08,06:14:00,makan,44000,Makan malam di restoran
2023-01-08,21:04:00,pakaian,78000,Beli kaos dan celana casual
2023-01-08,11:21:00,loundry,18000,Cuci pakaian harian
2023-01-08,18:55:00,belanja,47000,Beli souvenir dan hadiah
2023-01-09,15:58:00,rumah,87000,Beli alat pel dan alat kebersihan rumah
2023-01-09,10:21:00,lain-lain,39000,Pembelian alat tulis kantor
2023-01-09,18:56:00,lain-lain,35000,Biaya perizinan dan administrasi
2023-01-09,20:23:00,asuransi,94000,Bayar premi asuransi jiwa
2023-01-09,19:42:00,loundry,14000,Loundry pakaian anak
2023-01-10,15:30:00,rumah,59000,Beli alat pel dan alat kebersihan rumah
2023-01-10,13:02:00,hiburan,38000,Beli tiket konser musik
2023-01-10,07:23:00,asuransi,65000,Bayar premi asuransi pendidikan anak
2023-01-10,11:22:00,tagihan,81000,Bayar tagihan gas elpiji
2023-01-10,20:20:00,pakaian,39000,Beli pakaian muslim
2023-01-11,15:19:00,asuransi,67000,Biaya administrasi asuransi
2023-01-11,16:29:00,pajak,56000,Bayar pajak hotel dan restoran
2023-01-11,14:50:00,rumah,55000,Perbaikan atap rumah bocor
2023-01-11,14:43:00,asuransi,73000,Bayar premi asuransi kendaraan bermotor
2023-01-11,11:18:00,lain-lain,19000,Pembelian alat tulis kantor
2023-01-12,08:53:00,pajak,82000,Bayar pajak penghasilan
2023-01-12,09:14:00,loundry,25000,Cuci tas dan sepatu
2023-01-12,06:20:00,belanja,62000,Belanja kebutuhan dapur
2023-01-13,13:23:00,tagihan,35000,Bayar tagihan telepon rumah
2023-01-13,17:20:00,pulsa,6000,Beli kuota internet tambahan
2023-01-13,13:30:00,rumah,62000,"Pembelian alat keamanan rumah (CCTV, alarm)"
2023-01-14,19:06:00,pulsa,15000,Bayar tagihan telepon prabayar
2023-01-14,20:14:00,makan,45000,Jajan cemilan pasar
2023-01-14,06:09:00,belanja,66000,Belanja kebutuhan rumah tangga
2023-01-14,06:10:00,pajak,92000,Bayar pajak kendaraan pribadi
2023-01-15,10:28:00,lain-lain,45000,Bayar denda tilang
2023-01-15,13:27:00,belanja,42000,Beli peralatan kebersihan rumah
2023-01-15,10:31:00,pajak,53000,Bayar pajak hotel dan restoran
2023-01-15,08:45:00,pakaian,64000,Beli pakaian tradisional
2023-01-16,11:53:00,pulsa,12000,Beli paket data internet
2023-01-16,16:04:00,makan,28000,Makan siang di kantin
2023-01-16,09:21:00,hiburan,42000,Beli tiket konser musik
2023-01-17,09:18:00,loundry,19000,Setrika pakaian batik
2023-01-17,14:44:00,kesehatan,66000,Vaksinasi anak dan dewasa
2023-01-17,06:21:00,kesehatan,74000,Pembelian alat kesehatan seperti tensimeter
2023-01-17,10:07:00,hiburan,37000,Beli tiket konser musik
2023-01-18,17:13:00,loundry,14000,Setrika pakaian batik
2023-01-18,21:57:00,pakaian,50000,Beli pakaian muslim
2023-01-18,10:37:00,makan,39000,Jajan cemilan pasar
2023-01-18,17:50:00,kesehatan,53000,Pembelian alat kesehatan seperti tensimeter
2023-01-19,17:01:00,asuransi,83000,Bayar premi asuransi kesehatan
2023-01-19,17:10:00,pakaian,64000,Beli topi dan sabuk
2023-01-19,07:38:00,makan,16000,Makan siang di kantin
2023-01-19,09:18:00,pakaian,76000,Beli pakaian olahraga
2023-01-20,20:50:00,rumah,69000,Ganti lampu rumah
2023-01-20,20:14:00,tagihan,94000,Bayar langganan majalah/koran
2023-01-20,07:59:00,makan,24000,Makan malam di restoran
